vraag,antwoord
Van welke Koreaanse trilogie maakt Oldboy deel uit, Vengeance trilogie
Wie maakte met Lieve Blancquaert een documentaire over een mirakel in Lourdes, Nathalie Basteyns
Hoe heet Philomena Cunk echt, Diane Morgan
Hoe heten 1 mei en 1 november in de Ierse kalender, Beltan en Sanhaim
Hoe heetten zowel de halfzus en de vrouw van David, Abigail
Welk veelkoppig monster versloeg Hercules, Hydra van Lerna
Hoe heet het eiland waar Pereus anspoelde en tot welke eilandengroep behoort het, Serifos en de Cycladen
Welke Griekse god personificeert de Westenwind, Zephyros
Welke Amerikaanse werd vals beschuldigd en op internet nagezeten voor een moord op haar flatgenote in Italië, Amanda Knox
Wie ontvoerde Heineken, Willem Holleeder
Welke youtuber werd neergeschoten tijdens een prank en hoe heet zijn kanaal, Tanner Cook en Classified Goons
Hoe heet YouTuber Acid, Nathan Vandergunst
Hoe heette het schip waarmee Commandant Cousteau zijn documentaires maakte, Calypso
Welke overleden kluizenaar en poppenspeler trok in 2023 naar een orthodox klooster in Griekenland om er te sterven, Jozef van den Berg
Hoe heetten de Zweedse en Amerikaanse virologen, Anders Tegnell en Anthony Fauci
Hoe heet de jongere broer van willem-alexander, Prins Constantijn
Wie schreef en wie regisseerde Wil?, Olyslagers en Mielants
Hoe heette de duits-russische schrijfster-psychoanalyst die onder andere Nietzsche het hoofd op hol bracht, Lou Andreas-Salomé
Wie was leerling van Rubens en had een gelijknamige zoon die ook schilder werd?, David Teniers
Deze 44-jarige britse performance artist brak door met Sex Idiot en scoorde met fake it till you make it, Byrony Kimmings
Hoe heet de jaarlijkse avontuurlijke wedstrijd voor auto's op de openbare weg, Gumball 3000
Sinds 2014 heeft de Giro elk jaar een andere winnaar. Wie was de laatste die twee maal won namelijk 2013 en 2016, Vincenzo Nibali
Welke Belg won in 2009 het jongerenklassement in de Giro, Kevin Seeldrayers
Hoe heten de iraanse en indische topscorers aller tijden, Ali Daei en Sunil Chetri
Welke Nederlander won Goud op de 1000m schaatsen in Peking, Thomas Krol
Hoe heet het fenomeen vernoemd naar een nobelprijswinnaar dat zorgt voor blauwe lucht, Rayleighverstrooiing 
Welke stof heeft chemische samenstelling C4H8O2, boterzuur
Welke stof heeft chemische samenstelling  C6H8O7, Citroenzuur
Welke bloem met lange lipbladen heeft een meisjesnaam, Aster
Wat is de hoofdstad van Labrador and Newfoundland, Saint Johns
Wat is de hoofdstad van Saint Edwards Island, Charlotte Town
Wat is de hoofdstad van New Brunswick, Fredericksburg
Wat is de hoofdstad van Nunavut, Inaquit
Wat is de noordelijkste continu bewoonde plaats ter wereld, Alert
Wat is de hoofdstad van Northwest Territories, Yellowknife
Wat is de hoofdstad van Yukon Territories, Whitehorse
Welke rivier en gelijknamig meer in Alberta is afgeleid van een inheemse naam voor waar de ene plant na de andere groeit, Athabasca
Welke rivier vormt de samenvloeiing van de Peace river met de afwatering van het Athabasca meer en mondt uit in een gelijknamig meer, Slave
Welke rivier watert het Slave meer af naar de Boifort-zee en is de langste rivier van Canada, McKenzie
Welke rivier watert het Winnipeg meer af naar de Hudson-baai, Nelson
Welke rivier loopt door Edmonton althans de noordelijke tak, Saskatchewan
Op welk eiland ligt Victoria de hoofdstad van British Columbia, Vancouver Island
Welke zeestraten liggen tussen Vancouver Island en het vasteland, Georgia en Queen Charlotte en Juan de Fuca
Wat is het grootste eiland van Canada, Baffin
Wat is het tweede grootste eiland van Canada, Victoria
Wat is het derde grootste eiland van Canada, Ellesmere
Welk volk bewoonde de arctische gebieden in Canada tussen 500 voor en 1000 na Christus en is genoemd naar een nederzetting gevonden in de gelijknamige kaap, Dorset People
Welk volk genoemd naar een mythische plek in de Middeleeuwen vestigde zich vanaf 1000 in arctisch Canada en vormt dus de voorouders van de Inuït, Thule
Hoe heten de grote meren van links naar rechts, Superior Michigan Huron Erie en Ontario
Met welke Spaanse term duiden we een langgerekte keten aan van bergen zoals de Andes, Cordillera 
Welke stad ligt zowat pal in het midden van Australië en kijkt uit op de McDonnell Ranges, Alice Springs
Alice Springs is genoemd naar de vrouw van een pionier in de telegrafie die door de Engelsen naar Australië is gestuurd, Charles Todd
Ayers Rock of Uluru ligt in de zuidoostelijke punt van de tweede grootste woestijn van Australië, Great Sandy Desert
Hoe heet de grootste en meest zuidelijke woestijn van Australië, Great Victoria Desert
Welke woestijn is de op één na kleinste van Australië en bestaat overwegend uit lage droge grassen, Gibson Desert
Wat is de noordelijkste woestijn van Australië waar het kleinste buideldier ter wereld leeft namelijk de platkopbuidelmuis, Tanami
Wat is de hoofdstad van Tasmanië, Hobart
Met welke Griekse berg deelt de hoogste berg in Tasmanië haar naam, Ossa
Welke drie lochs vormen de Great Glen, Linnhe Lochy en Ness
Amper 1040 meter volstaan om de hoogste piek van Ierland te zijn, Carrauntoohill
Welk meer in het westen van Ierland is het grootste van de republiek en het tweede van het eiland? De gelijknamige rivier watert het meer af naar Galway Bay, Corrib
Wat is het derde en vijfde grootste meer van Ierland die beide in de loop liggen van de Shannon, Derg en Ree
Welke eiland ligt vlak voor de Engelse zuidkust en door welke straat wordt ze gescheiden van het vasteland, Isle of Wight en The Solent
Welke Engelse stad ligt op een eiland in de Solent, Portsmouth
Hoe heet het derde eiland van Nieuw-Zeeland, Stewart
Hoe heet de langste rivier van Nieuw-Zeeland, Waikato
Hoe heet het grootste meer van Nieuw-Zeeland, Taupo
Welke watervallen tref je aan waar het Taupo-meer zich terug in de Waikato stort, Huka Falls
Hoe heet de bergketen die de ruggengraat vormt van het zuidelijke eiland van Nieuw-Zeeland, Zuidelijke Alpen
Wat is de langste rivier van Guatemala en in welke golf mondt ze uit, Motagua en Golf van Honduras
Hoe heet de grootste delta van de VS waar onder meer de Potomac in uitmondt, Chesapeake Bay
Welke rivier loopt door Philadelphia, Delaware
Wat is de hoogste berg van centraal Amerika en in welke keten ligt ze, Tajumulco en Sierra Madre



